shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil
burgers,meatballs,eggs,,,,,,,,,,,,,,,,,
chutney,,,,,,,,,,,,,,,,,,,
turkey,avocado,,,,,,,,,,,,,,,,,,
water,milk,energy bar,whole wheat rice,green tea,,,,,,,,,,,,,,,
low fat yogurt,,,,,,,,,,,,,,,,,,,
whole wheat pasta,french fries,,,,,,,,,,,,,,,,,,
soup,light cream,shallot,,,,,,,,,,,,,,,,,
vegetables,spaghetti,green tea,,,,,,,,,,,,,,,,,
french fries,,,,,,,,,,,,,,,,,,,
eggs,pet food,,,,,,,,,,,,,,,,,,
cookies,,,,,,,,,,,,,,,,,,,
turkey,burgers,water,eggs,cooking oil,,,,,,,,,,,,,,,
spaghetti,champagne,cookies,,,,,,,,,,,,,,,,,
water,salmon,,,,,,,,,,,,,,,,,,
water,,,,,,,,,,,,,,,,,,,
shrimp,chocolate,chicken,honey,oil,cooking oil,low fat yogurt,,,,,,,,,,,,,
turkey,eggs,,,,,,,,,,,,,,,,,,
turkey,fresh tuna,tomatoes,spaghetti,water,black tea,salmon,eggs,chicken,extra dark chocolate,,,,,,,,,,
meatballs,milk,honey,french fries,protein bar,,,,,,,,,,,,,,,
red wine,shrimp,pasta,pepper,eggs,chocolate,shampoo,,,,,,,,,,,,,
rice,sparkling water,,,,,,,,,,,,,,,,,,
spaghetti,water,ham,body spray,pancakes,green tea,,,,,,,,,,,,,,
burgers,grated cheese,shrimp,pasta,avocado,honey,white wine,toothpaste,,,,,,,,,,,,
eggs,,,,,,,,,,,,,,,,,,,
parmesan cheese,spaghetti,soup,avocado,milk,fresh bread,,,,,,,,,,,,,,
ground beef,spaghetti,water,milk,energy bar,black tea,salmon,frozen smoothie,escalope,,,,,,,,,,,
sparkling water,,,,,,,,,,,,,,,,,,,
water,eggs,chicken,chocolate,french fries,,,,,,,,,,,,,,,
vegetables,spaghetti,yams,water,,,,,,,,,,,,,,,,
herb & pepper,tomato sauce,light cream,magazines,,,,,,,,,,,,,,,,
water,chocolate,avocado,eggs,,,,,,,,,,,,,,,,
turkey,french fries,strawberries,,,,,,,,,,,,,,,,,
vegetables,strong cheese,chocolate,,,,,,,,,,,,,,,,,
cookies,,,,,,,,,,,,,,,,,,,
pickles,spaghetti,salmon,escalope,,,,,,,,,,,,,,,,
energy bar,french fries,,,,,,,,,,,,,,,,,,
red wine,ground beef,water,,,,,,,,,,,,,,,,,
water,cake,cottage cheese,,,,,,,,,,,,,,,,,
pickles,champagne,green tea,,,,,,,,,,,,,,,,,
spaghetti,,,,,,,,,,,,,,,,,,,
fresh tuna,vegetables,spaghetti,water,honey,whole wheat rice,frozen smoothie,escalope,,,,,,,,,,,,
spaghetti,,,,,,,,,,,,,,,,,,,
soup,meatballs,hot dogs,sparkling water,,,,,,,,,,,,,,,,
escalope,,,,,,,,,,,,,,,,,,,
